ts_code,symbol,name,enname,aliases
7203.T,7203.T,丰田汽车,Toyota Motor Corporation,Toyota|Toyota Motor|丰田|トヨタ
6758.T,6758.T,索尼集团,Sony Group Corporation,Sony|Sony Group|索尼|ソニー
9984.T,9984.T,软银集团,SoftBank Group Corp.,SoftBank|SoftBank Group|软银|ソフトバンク
8306.T,8306.T,三菱日联金融集团,Mitsubishi UFJ Financial Group,MUFG|Mitsubishi UFJ|三菱日联|三菱UFJ
6861.T,6861.T,基恩士,Keyence Corporation,Keyence|キーエンス
6501.T,6501.T,日立,Hitachi Ltd.,Hitachi|日立制作所|日立製作所
7974.T,7974.T,任天堂,Nintendo Co. Ltd.,Nintendo|任天堂
8035.T,8035.T,东京电子,Tokyo Electron Limited,Tokyo Electron|東京エレクトロン
9432.T,9432.T,日本电信电话,Nippon Telegraph and Telephone Corporation,NTT|Nippon Telegraph and Telephone|日本电信电话
9983.T,9983.T,迅销,Fast Retailing Co. Ltd.,Fast Retailing|Uniqlo|优衣库|迅销
8058.T,8058.T,三菱商事,Mitsubishi Corporation,Mitsubishi Corp|三菱商事
8001.T,8001.T,伊藤忠商事,ITOCHU Corporation,ITOCHU|伊藤忠
8031.T,8031.T,三井物产,Mitsui and Co. Ltd.,Mitsui|三井物产|三井物産
4502.T,4502.T,武田药品,Takeda Pharmaceutical Company,Takeda|武田药品|武田薬品
4568.T,4568.T,第一三共,Daiichi Sankyo Company,Daiichi Sankyo|第一三共
6098.T,6098.T,Recruit Holdings,Recruit Holdings Co. Ltd.,Recruit|リクルート
4063.T,4063.T,信越化学工业,Shin-Etsu Chemical Co. Ltd.,Shin-Etsu|信越化学
7741.T,7741.T,HOYA,HOYA Corporation,HOYA|豪雅
6954.T,6954.T,发那科,FANUC Corporation,FANUC|发那科|ファナック
6367.T,6367.T,大金工业,Daikin Industries Ltd.,Daikin|大金|ダイキン
6902.T,6902.T,电装,DENSO Corporation,DENSO|电装|デンソー
7267.T,7267.T,本田汽车,Honda Motor Co. Ltd.,Honda|本田|ホンダ
8316.T,8316.T,三井住友金融集团,Sumitomo Mitsui Financial Group,SMFG|三井住友
8411.T,8411.T,瑞穗金融集团,Mizuho Financial Group,Mizuho|瑞穗|みずほ
9433.T,9433.T,KDDI,KDDI Corporation,KDDI|au
9434.T,9434.T,软银通信,SoftBank Corp.,SoftBank Corp|软银通信
8766.T,8766.T,东京海上控股,Tokio Marine Holdings,Tokio Marine|东京海上
2914.T,2914.T,日本烟草,Japan Tobacco Inc.,JT|Japan Tobacco|日本烟草
3382.T,3382.T,Seven & i 控股,Seven and i Holdings,Seven Eleven|7-Eleven|7&i
4452.T,4452.T,花王,Kao Corporation,Kao|花王
6857.T,6857.T,爱德万测试,Advantest Corporation,Advantest|爱德万|アドバンテスト
6762.T,6762.T,TDK,TDK Corporation,TDK|东京电气化学|東京電気化学
6503.T,6503.T,三菱电机,Mitsubishi Electric Corporation,Mitsubishi Electric|三菱电机|三菱電機
6701.T,6701.T,日本电气,NEC Corporation,NEC|日本电气|日本電気
6702.T,6702.T,富士通,Fujitsu Limited,Fujitsu|富士通
6723.T,6723.T,瑞萨电子,Renesas Electronics Corporation,Renesas|瑞萨|ルネサス
6752.T,6752.T,松下控股,Panasonic Holdings Corporation,Panasonic|松下|パナソニック
6981.T,6981.T,村田制作所,Murata Manufacturing Co. Ltd.,Murata|村田|村田製作所
7751.T,7751.T,佳能,Canon Inc.,Canon|佳能|キヤノン
7011.T,7011.T,三菱重工,Mitsubishi Heavy Industries Ltd.,Mitsubishi Heavy|MHI|三菱重工
7012.T,7012.T,川崎重工,Kawasaki Heavy Industries Ltd.,Kawasaki Heavy|KHI|川崎重工
6301.T,6301.T,小松制作所,Komatsu Ltd.,Komatsu|小松|コマツ
6273.T,6273.T,SMC,SMC Corporation,SMC|SMC株式会社
7832.T,7832.T,万代南梦宫控股,Bandai Namco Holdings Inc.,Bandai Namco|万代南梦宫|バンダイナムコ
8801.T,8801.T,三井不动产,Mitsui Fudosan Co. Ltd.,Mitsui Fudosan|三井不动产|三井不動産
8802.T,8802.T,三菱地所,Mitsubishi Estate Co. Ltd.,Mitsubishi Estate|三菱地所
5108.T,5108.T,普利司通,Bridgestone Corporation,Bridgestone|普利司通|ブリヂストン
5020.T,5020.T,ENEOS控股,ENEOS Holdings Inc.,ENEOS|引能仕|エネオス
1605.T,1605.T,国际石油开发帝石,INPEX Corporation,INPEX|帝石|インペックス
4503.T,4503.T,安斯泰来制药,Astellas Pharma Inc.,Astellas|安斯泰来|アステラス
4519.T,4519.T,中外制药,Chugai Pharmaceutical Co. Ltd.,Chugai|中外制药|中外製薬
4578.T,4578.T,大塚控股,Otsuka Holdings Co. Ltd.,Otsuka|大塚|大塚ホールディングス
7201.T,7201.T,日产汽车,Nissan Motor Co. Ltd.,Nissan|日产|日産
7202.T,7202.T,五十铃汽车,Isuzu Motors Limited,Isuzu|五十铃|いすゞ
7270.T,7270.T,斯巴鲁,Subaru Corporation,Subaru|斯巴鲁|スバル
7269.T,7269.T,铃木汽车,Suzuki Motor Corporation,Suzuki|铃木|スズキ
9020.T,9020.T,东日本旅客铁道,East Japan Railway Company,JR East|东日本铁路|JR東日本
9021.T,9021.T,西日本旅客铁道,West Japan Railway Company,JR West|西日本铁路|JR西日本
9101.T,9101.T,日本邮船,Nippon Yusen Kabushiki Kaisha,Nippon Yusen|NYK|日本郵船
9104.T,9104.T,商船三井,Mitsui O.S.K. Lines Ltd.,MOL|商船三井
